haplotype	first	last	duration	total	prefecture
1	2020-06-01	2020-06-01	1	1	Tochigi
1	2020-06-22	2020-06-22	1	1	Saitama
1	2020-07-04	2020-07-20	17	2	Kanagawa
1.3	2020-09-26	2020-09-26	1	1	Ibaraki
1.6	2020-07-18	2020-09-03	48	10	Saitama
1.6	2020-07-31	2020-08-31	32	5	Kanagawa
1.6	2020-08-07	2020-08-18	12	2	Tokyo
1.6	2020-08-15	2020-08-15	1	1	Tochigi
1.6	2020-08-20	2020-09-12	24	11	Chiba
1.6	2020-08-20	2020-08-26	7	3	Fukushima
1.6	2020-08-20	2020-08-22	3	2	Ibaraki
1.6	2020-08-28	2020-08-30	3	2	Miyagi
1.6.3	2020-09-27	2020-10-02	6	2	Tokyo
1.6.3	2020-09-28	2020-11-11	45	8	Kanagawa
1.6.3	2020-11-24	2020-11-24	1	1	Tochigi
1.6.7	2020-09-15	2020-09-15	1	1	Chiba
1.6.7.1	2020-10-07	2020-10-07	1	1	Kanagawa
1.6.7.1.2	2020-10-28	2021-01-12	77	12	Kanagawa
1.6.7.1.2	2020-11-05	2021-01-18	75	13	Tokyo
1.6.7.1.2	2020-11-10	2021-01-15	67	2	Gunma
1.6.7.1.2	2020-11-10	2020-12-30	51	15	Hyogo
1.6.7.1.2	2020-11-17	2021-01-24	69	54	Fukuoka
1.6.7.1.2	2020-11-20	2020-11-20	1	1	Wakayama
1.6.7.1.2	2020-11-23	2020-12-03	11	2	Kagawa
1.6.7.1.2	2020-11-24	2020-12-02	9	5	Tochigi
1.6.7.1.2	2020-11-24	2021-01-27	65	18	Saitama
1.6.7.1.2	2020-11-25	2020-12-17	23	8	Miyagi
1.6.7.1.2	2020-11-26	2021-01-05	41	4	Kagoshima
1.6.7.1.2	2020-11-26	2021-01-05	41	2	Osaka
1.6.7.1.2	2020-11-26	2020-12-06	11	2	Yamanashi
1.6.7.1.2	2020-11-29	2020-12-01	3	2	Mie
1.6.7.1.2	2020-12-13	2020-12-24	12	7	Kyoto
1.6.7.1.2	2020-12-16	2021-01-12	28	12	Toyama
1.6.7.1.2	2020-12-18	2021-01-05	19	16	Oita
1.6.7.1.2	2020-12-18	2020-12-19	2	2	Yamaguchi
1.6.7.1.2	2020-12-27	2021-01-22	27	10	Miyazaki
1.6.7.1.2	2021-01-05	2021-01-05	1	3	Okayama
1.6.7.1.2	2021-01-05	2021-01-05	1	1	Ishikawa
1.6.7.1.2	2021-01-10	2021-01-14	5	9	Fukushima
1.6.7.1.2	2021-01-11	2021-01-11	1	1	Nagasaki
1.6.7.1.2	2021-01-11	2021-01-18	8	3	Chiba
1.6.7.1.2	2021-01-17	2021-01-25	9	4	Nara
1.6.7.1.2.9	2020-11-25	2021-01-16	53	3	Tokyo
1.6.7.1.2.9	2020-11-30	2020-12-25	26	9	Saitama
1.6.7.1.2.9	2020-12-09	2021-01-19	42	6	Kanagawa
1.6.7.1.2.9	2020-12-30	2020-12-30	1	1	Hokkaido
1.6.7.1.2.9	2021-01-22	2021-01-22	1	3	Osaka
1.6.7.1.2.9.2	2021-01-05	2021-01-05	1	2	Okinawa
1.6.7.1.2.9.2	2021-01-22	2021-01-22	1	1	Tokyo
1.6.7.1.2.9.2	2021-01-26	2021-01-26	1	1	Fukushima
1.6.7.1.2.9.4	2020-12-01	2021-01-26	57	16	Kanagawa
1.6.7.1.2.9.4	2020-12-30	2020-12-30	1	1	Aomori
1.6.7.1.2.9.4	2021-01-04	2021-01-04	1	2	Tokyo
1.6.7.1.2.9.4	2021-01-11	2021-01-23	13	3	Hyogo
1.6.7.1.2.9.4	2021-01-16	2021-01-21	6	4	Saitama
1.6.7.1.2.9.4.2	2020-12-16	2021-02-01	48	3	Kanagawa
1.6.7.1.2.9.4.2	2020-12-24	2020-12-24	1	1	Tochigi
1.6.7.1.2.9.4.2.1	2020-12-23	2021-01-18	27	5	Kanagawa
1.6.7.1.2.9.4.2.1	2021-01-04	2021-01-04	1	1	Yamanashi
1.6.7.1.2.9.4.2.1	2021-01-08	2021-01-09	2	3	Fukuoka
1.6.7.1.2.9.4.2.1	2021-01-29	2021-02-10	13	2	Tokyo
1.6.7.1.2.9.4.13	2021-01-06	2021-01-06	1	1	Yamaguchi
1.6.7.1.2.9.4.13	2021-01-08	2021-01-08	1	1	Hokkaido
1.6.7.1.2.9.4.13	2021-01-11	2021-01-25	15	4	Fukuoka
1.6.7.1.2.9.4.13	2021-01-13	2021-01-21	9	3	Kumamoto
1.6.7.1.2.9.4.13	2021-01-18	2021-01-20	3	2	Shimane
1.6.7.1.2.9.4.13	2021-01-18	2021-01-27	10	4	Tokyo
