haplotype	first	last	duration	total	prefecture
1.6	2020-07-18	2020-09-03	48	10	Saitama
1.6	2020-08-20	2020-09-12	24	11	Chiba
1.6.7.1.2	2020-10-28	2021-01-12	77	12	Kanagawa
1.6.7.1.2	2020-11-05	2021-01-29	86	33	Tokyo
1.6.7.1.2	2020-11-10	2020-12-30	51	16	Hyogo
1.6.7.1.2	2020-11-17	2021-01-24	69	54	Fukuoka
1.6.7.1.2	2020-11-24	2021-01-27	65	20	Saitama
1.6.7.1.2	2020-12-16	2021-01-12	28	12	Toyama
1.6.7.1.2	2020-12-18	2021-01-05	19	16	Oita
1.6.7.1.2	2020-12-27	2021-01-22	27	10	Miyazaki
1.6.7.1.2.9.4	2020-12-01	2021-01-26	57	16	Kanagawa
1.6.7.1.2.9.19.x.7	2021-01-30	2021-02-13	15	11	Miyazaki
1.6.7.1.2.9.x.11	2020-12-25	2021-01-21	28	13	Fukuoka
1.6.7.1.2.9.x.11.2	2021-01-22	2021-03-13	51	50	Fukuoka
1.6.7.1.2.9.x.11.2.x.2.1	2021-03-01	2021-03-26	26	24	Fukuoka
1.6.7.1.2.9.x.11.2.x.4	2021-02-24	2021-04-06	42	36	Fukuoka
1.6.7.1.2.11	2020-12-23	2021-02-02	42	11	Mie
1.6.7.1.2.11	2021-01-17	2021-02-16	31	10	Kagawa
1.6.7.1.2.20.7.1	2021-01-02	2021-01-13	12	15	Tokyo
1.6.7.1.2.20.x.3.1	2021-02-08	2021-03-11	32	12	Kanagawa
1.6.7.1.2.32	2021-01-12	2021-01-25	14	10	Nagasaki
1.6.7.1.2.44	2020-11-29	2020-12-26	28	22	Kochi
1.6.7.1.2.44.9	2020-12-02	2020-12-07	6	12	Kochi
1.6.7.1.2.71	2020-12-21	2021-02-06	48	19	Fukuoka
1.6.7.1.2.97.2.1.3	2021-01-15	2021-03-03	48	16	Fukuoka
1.6.7.1.2.119	2021-01-04	2021-01-22	19	20	Fukuoka
1.6.7.1.2.x.10	2021-01-07	2021-01-16	10	11	Toyama
1.6.7.1.2.x.26.8	2020-12-07	2021-01-02	27	13	Kyoto
1.6.7.1.2.x.26.12	2020-12-31	2021-01-23	24	11	Hyogo
1.6.7.1.2.x.43.1	2021-01-16	2021-01-25	10	13	Okinawa
1.6.7.1.2.x.43.2	2020-12-23	2020-12-26	4	15	Iwate
1.6.14.1	2020-09-25	2020-12-11	78	11	Fukuoka
1.6.14.1.2.1	2020-11-30	2021-01-22	54	29	Okinawa
1.6.14.1.2.1	2021-01-23	2021-02-04	13	18	Yamaguchi
1.6.14.1.2.1.11.2.1.1.2	2021-01-27	2021-02-08	13	40	Fukuoka
1.6.14.1.2.4	2020-11-24	2021-01-12	50	21	Mie
1.6.14.1.2.4.18	2020-12-22	2021-01-08	18	10	Kyoto
1.6.14.1.2.4.18	2020-12-29	2021-01-26	29	14	Tokyo
1.6.14.1.2.5.4	2021-01-01	2021-01-14	14	12	Mie
1.6.14.1.2.5.4.x.4.x.3.1	2021-02-16	2021-04-03	47	37	Shiga
1.6.14.1.2.5.4.x.4.x.3.x.12	2021-04-07	2021-04-22	16	13	Miyazaki
1.6.14.1.2.5.5	2020-11-30	2021-01-17	49	16	Osaka
1.6.14.1.2.5.5	2020-12-30	2021-01-26	28	17	Fukuoka
1.6.14.1.2.5.5.9	2021-01-13	2021-02-12	31	17	Fukuoka
1.6.14.1.2.5.5.9	2021-01-18	2021-01-27	10	20	Oita
1.6.14.1.2.5.5.14.1	2021-01-07	2021-01-27	21	10	Shizuoka
1.6.21.1.1.x.2	2020-12-02	2020-12-04	3	17	Tochigi
1.6.21.1.1.x.3	2020-12-02	2020-12-14	13	24	Saitama
1.6.x.1.2.x.1.3	2020-12-01	2020-12-25	25	10	Fukushima
1.6.x.1.2.x.1.x.25.x.8.x.7	2021-01-26	2021-02-12	18	13	Niigata
1.6.x.1.2.x.1.x.25.x.8.x.10	2021-02-23	2021-03-19	25	15	Shizuoka
1.6.x.1.2.x.1.x.31.10	2020-12-14	2021-01-12	30	11	Tokyo
1.6.x.1.2.x.1.x.31.10	2021-01-21	2021-02-02	13	11	Okinawa
1.6.x.1.2.x.1.x.31.24	2021-01-04	2021-01-19	16	13	Fukushima
1.7	2020-06-27	2020-10-25	121	17	Tokyo
1.7	2020-06-29	2020-10-05	99	27	Chiba
1.7	2020-07-03	2020-09-04	64	101	Fukuoka
1.7	2020-07-08	2020-10-14	99	39	Kanagawa
1.7	2020-07-08	2020-11-12	128	23	Hokkaido
1.7	2020-07-17	2020-09-12	58	13	Saitama
1.7	2020-08-08	2020-08-19	12	70	Shimane
1.7	2020-08-17	2020-09-19	34	17	Fukushima
1.7.17	2020-08-19	2020-09-01	14	24	Nagano
1.7.17.5	2020-08-24	2020-09-04	12	10	Nagano
1.7.17.5	2020-09-30	2020-10-13	14	10	Saitama
1.7.17.5.x.3.x.1	2020-10-24	2020-12-22	60	15	Tokyo
1.7.17.5.x.3.x.1.2	2020-11-22	2021-01-16	56	43	Miyagi
1.7.17.5.x.3.x.1.15	2020-12-04	2020-12-28	25	12	Saitama
1.7.17.5.x.3.x.1.x.14	2020-12-19	2021-01-19	32	12	Miyagi
1.7.17.5.x.3.x.1.x.18.x.7	2020-11-25	2020-12-03	9	18	Fukuoka
1.7.17.5.x.7.1	2020-10-15	2020-10-24	10	38	Okinawa
1.7.21.13.x.1.16	2020-12-07	2020-12-12	6	15	Fukuoka
1.7.21.13.x.1.19.x.4.x.14	2021-01-02	2021-01-20	19	10	Saitama
1.7.21.13.x.1.19.x.4.x.17.3	2020-12-31	2021-01-23	24	11	Wakayama
1.7.21.13.x.1.23	2020-12-30	2021-01-07	9	20	Fukushima
1.7.21.13.x.1.54	2020-12-05	2021-01-05	32	15	Fukuoka
1.7.21.13.x.1.56.x.1	2021-01-31	2021-02-15	16	27	Tokyo
1.7.21.13.x.1.x.46	2021-01-28	2021-02-15	19	17	Okinawa
1.7.21.x.3.2	2020-10-13	2020-10-23	11	12	Hyogo
1.7.21.x.3.x.4.1	2020-10-23	2020-12-01	40	16	Hyogo
1.7.21.x.3.x.4.x.1	2020-11-13	2021-01-13	62	70	Hyogo
1.7.21.x.3.x.4.x.1	2020-12-15	2021-01-15	32	26	Nagano
1.7.21.x.3.x.4.x.1.11	2020-11-19	2021-01-07	50	16	Hyogo
1.7.21.x.3.x.4.x.1.11	2020-12-13	2021-01-21	40	11	Tokyo
1.7.21.x.3.x.4.x.1.x.7	2021-01-14	2021-03-07	53	41	Fukushima
1.7.21.x.3.x.4.x.1.x.7.2	2021-02-22	2021-03-20	27	28	Fukushima
1.7.21.x.3.x.4.x.1.x.12.x.11.1	2021-02-24	2021-03-18	23	19	Niigata
1.7.21.x.3.x.4.x.1.x.12.x.13	2021-03-10	2021-03-22	13	13	Kanagawa
1.7.21.x.3.x.4.x.1.x.32.x.1	2021-04-04	2021-05-07	34	12	Tokyo
1.7.21.x.3.x.4.x.9.1	2020-11-24	2020-12-14	21	11	Hyogo
1.7.21.x.3.x.4.x.17.1	2020-12-14	2021-01-08	26	10	Hyogo
1.7.21.x.3.x.4.x.17.2	2020-12-14	2021-01-19	37	24	Hyogo
1.7.21.x.3.x.5	2020-10-02	2020-12-26	86	111	Hokkaido
1.7.21.x.3.x.5	2020-10-25	2020-12-25	62	52	Fukuoka
1.7.21.x.3.x.5	2020-10-29	2021-01-28	92	38	Hiroshima
1.7.21.x.3.x.5	2020-11-11	2021-01-25	76	13	Hyogo
1.7.21.x.3.x.5	2020-11-14	2021-01-04	52	108	Oita
1.7.21.x.3.x.5	2020-12-29	2021-02-01	35	11	Nagano
1.7.21.x.3.x.5.24.x.1	2020-12-19	2021-02-09	53	10	Fukuoka
1.7.21.x.3.x.5.24.x.1.11	2021-01-07	2021-01-28	22	10	Fukuoka
1.7.21.x.3.x.5.33	2020-11-03	2020-12-13	41	15	Hokkaido
1.7.21.x.3.x.5.33.x.1	2021-03-20	2021-04-17	29	19	Shizuoka
1.7.21.x.3.x.5.54	2020-11-11	2020-12-03	23	17	Hokkaido
1.7.21.x.3.x.5.54.x.1	2020-11-25	2020-12-13	19	18	Hokkaido
1.7.21.x.3.x.5.60.x.1	2020-12-06	2021-01-05	31	10	Hokkaido
1.7.21.x.3.x.5.72	2021-02-09	2021-02-22	14	17	Shizuoka
1.7.21.x.3.x.5.102	2020-11-29	2021-01-03	36	10	Oita
1.7.21.x.3.x.5.114	2020-11-19	2020-12-02	14	16	Oita
1.7.21.x.3.x.5.134	2021-01-03	2021-02-24	53	33	Ishikawa
1.7.21.x.3.x.5.x.55	2020-12-04	2020-12-09	6	12	Tochigi
1.7.21.x.3.x.5.x.72.x.8	2021-03-15	2021-04-09	26	12	Tokyo
1.7.21.x.3.x.5.x.72.x.8	2021-03-30	2021-05-10	42	49	Wakayama
1.7.21.x.3.x.5.x.104	2020-11-23	2020-12-19	27	13	Hokkaido
1.7.21.x.3.x.5.x.121.3	2021-02-03	2021-02-26	24	26	Ishikawa
1.7.21.x.3.x.5.x.128	2021-02-03	2021-02-24	22	16	Ishikawa
1.7.21.x.3.x.5.x.158	2020-12-22	2021-02-09	50	38	Oita
1.7.21.x.3.x.5.x.180.x.2	2021-01-03	2021-02-04	33	13	Hokkaido
1.7.32	2020-07-01	2020-07-19	19	68	Kagoshima
1.7.32.7.1.1	2020-08-14	2020-08-28	15	15	Kagoshima
1.7.41	2020-08-05	2020-08-20	16	23	Toyama
1.7.41	2020-08-07	2020-09-01	26	73	Ishikawa
1.7.41	2020-08-24	2020-09-04	12	14	Fukui
1.7.41.4	2020-08-06	2020-08-14	9	14	Ishikawa
1.7.41.26	2020-08-24	2020-09-07	15	31	Fukui
1.7.46	2020-08-01	2020-09-03	34	15	Saitama
1.7.46.6.2	2020-11-11	2020-11-26	16	12	Fukui
1.7.46.6.2.5	2020-10-12	2020-11-03	23	10	Kanagawa
1.7.51.x.1	2020-08-28	2020-09-18	22	10	Fukuoka
1.7.69	2020-07-28	2020-08-14	18	12	Fukuoka
1.7.79.x.1|1.7.69.x.3	2020-11-09	2020-11-11	3	16	Fukuoka
1.7.79.x.2	2020-11-15	2020-11-25	11	10	Fukuoka
1.7.107	2020-10-13	2020-11-13	32	20	Miyagi
1.7.107	2020-11-11	2021-01-08	59	32	Fukushima
1.7.107.11.1	2020-10-29	2020-11-10	13	16	Miyagi
1.7.109	2020-07-22	2020-09-10	51	14	Fukuoka
1.7.112	2020-07-10	2020-08-30	52	16	Fukuoka
1.7.x.34.x.23.x.2.x.1	2021-01-13	2021-02-10	29	11	Shizuoka
1.10	2020-07-17	2020-08-31	46	10	Saitama
1.10	2020-07-25	2020-08-25	32	21	Ibaraki
1.10.3	2020-08-25	2020-09-09	16	10	Ibaraki
c.1	2020-11-10	2020-11-27	18	15	Wakayama
c.1.4.1	2020-09-08	2020-10-19	42	11	Hyogo
c.1.15	2020-11-19	2021-01-14	57	20	Hyogo
c.1.15.3	2020-12-28	2021-01-08	12	16	Miyazaki
c.1.x.4.2.x.1.1	2020-12-17	2020-12-30	14	11	Nara
c.1.x.4.x.5	2021-01-01	2021-02-16	47	17	Nagano
c.1.x.4.x.8	2020-11-30	2020-12-05	6	15	Kochi
c.1.x.6.2|c.1.x.2.1	2020-11-12	2021-01-02	52	59	Hiroshima
c.1.x.6.2.x.3	2020-12-22	2021-01-05	15	14	Tottori
c.1.x.6.6	2020-12-04	2021-01-13	41	11	Hyogo
c.1.x.6.6	2021-01-05	2021-01-22	18	10	Osaka
c.1.x.6.6.x.13	2021-03-08	2021-04-15	39	20	Osaka
c.1.x.6.x.20|c.1.x.2.x.1	2020-12-01	2020-12-12	12	17	Hiroshima
c.1.x.6.x.43|c.1.x.2.x.1	2020-12-21	2021-02-01	43	18	Yamaguchi
c.1.x.6.x.43.x.2.3	2021-01-01	2021-01-20	20	10	Hiroshima
c.1.x.6.x.43.x.4.1	2021-01-16	2021-01-31	16	56	Yamaguchi
c.1.x.10	2020-10-01	2021-01-22	114	104	Hyogo
c.1.x.10	2020-10-13	2020-12-29	78	14	Osaka
c.1.x.10	2020-10-16	2021-01-04	81	29	Tokyo
c.1.x.10	2020-11-02	2020-11-27	26	15	Yamaguchi
c.1.x.10	2020-11-06	2020-12-01	26	10	Saitama
c.1.x.10	2020-11-08	2020-12-09	32	11	Fukui
c.1.x.10.3	2020-12-02	2021-01-27	57	20	Shiga
c.1.x.10.3	2020-12-25	2021-02-02	40	15	Kyoto
c.1.x.10.16	2020-11-19	2020-12-19	31	12	Fukuoka
c.1.x.10.21	2020-11-06	2020-12-01	26	14	Hyogo
c.1.x.10.21	2020-12-06	2021-01-29	55	83	Fukuoka
c.1.x.10.21	2021-01-02	2021-01-29	28	12	Oita
c.1.x.10.21.x.2	2021-01-27	2021-02-12	17	11	Oita
c.1.x.10.21.x.7	2021-01-08	2021-02-08	32	10	Oita
c.1.x.10.21.x.7.2	2021-01-24	2021-02-06	14	15	Oita
c.1.x.10.96	2020-12-01	2020-12-17	17	10	Hyogo
c.1.x.10.x.15.3	2021-03-08	2021-03-18	11	13	Aichi
c.1.x.10.x.171.x.8|c.1.x.10.x.221.x.1	2020-12-11	2021-01-19	40	18	Ishikawa
f.13.1	2020-12-14	2021-02-15	64	10	Tokyo
f.13.4	2020-12-08	2021-01-04	28	19	Nagasaki
f.13.4.4	2021-01-22	2021-01-29	8	11	Saitama
f.13.4.4.x.2	2021-01-30	2021-02-15	17	11	Saitama
f.13.4.11	2020-12-16	2021-01-21	37	18	Nagasaki
f.15	2020-11-23	2020-12-05	13	13	Fukuoka
f.15.1	2020-12-07	2021-01-26	51	10	Kanagawa
f.17.6.x.2	2021-01-06	2021-01-26	21	10	Fukuoka
f.18	2020-10-17	2020-11-15	30	19	Saitama
f.24	2020-12-16	2021-01-11	27	19	Fukuoka
h.14.x.1	2021-02-04	2021-02-17	14	10	Tokyo
h.61.1	2021-01-08	2021-01-27	20	12	Tokyo
i.4.x.1	2021-01-18	2021-02-08	22	13	Tokyo
i.14.x.1.x.1	2021-01-03	2021-01-16	14	10	Saitama
i.119	2021-01-25	2021-02-11	18	17	Okinawa
j.8	2020-12-14	2020-12-30	17	19	Hyogo
j.83	2021-01-13	2021-01-27	15	17	Fukui
k.10	2021-01-20	2021-01-30	11	12	Fukuoka
k.27	2021-01-06	2021-02-06	32	27	Mie
k.27.x.2	2021-02-14	2021-02-22	9	18	Mie
k.69	2020-12-12	2021-01-05	25	10	Nara
l.21	2021-01-05	2021-01-18	14	12	Kyoto
l.42	2021-01-18	2021-03-21	63	10	Chiba
l.51	2021-01-30	2021-02-09	11	12	Oita
