haplotype	first	last	duration	total	prefecture
1	2020-06-01	2020-06-01	1	1	Tochigi
1	2020-06-22	2020-06-22	1	1	Saitama
1	2020-07-04	2020-07-20	17	2	Kanagawa
1.1	2020-06-24	2020-06-24	1	1	Tokyo
1.1.x.1	2020-07-01	2020-07-01	1	1	Saitama
1.2	2020-06-11	2020-06-11	1	1	Tokyo
1.3	2020-09-26	2020-09-26	1	1	Ibaraki
1.4	2020-07-20	2020-07-20	1	1	Tottori
1.5	2020-07-01	2020-07-01	1	1	Tokyo
1.6	2020-07-18	2020-09-03	48	10	Saitama
1.6	2020-07-31	2020-08-31	32	5	Kanagawa
1.6	2020-08-07	2020-08-18	12	2	Tokyo
1.6	2020-08-15	2020-08-15	1	1	Tochigi
1.6	2020-08-20	2020-09-12	24	11	Chiba
1.6	2020-08-20	2020-08-26	7	3	Fukushima
1.6	2020-08-20	2020-08-22	3	2	Ibaraki
1.6	2020-08-28	2020-08-30	3	2	Miyagi
1.6.1	2020-10-24	2020-10-24	1	1	Fukuoka
1.6.3	2020-09-27	2020-10-02	6	2	Tokyo
1.6.3	2020-09-28	2020-11-11	45	8	Kanagawa
1.6.3	2020-11-24	2020-11-24	1	1	Tochigi
1.6.3.1	2020-11-21	2020-11-21	1	1	Tokyo
1.6.3.1.1	2020-11-04	2020-11-05	2	2	Kanagawa
1.6.3.2	2020-11-18	2020-11-18	1	1	Kanagawa
1.6.3.3	2020-12-28	2020-12-28	1	1	Nagano
1.6.3.4	2020-11-10	2020-11-10	1	1	Kanagawa
1.6.3.x.1	2020-12-12	2020-12-12	1	1	Tokyo
1.6.3.x.2	2020-11-30	2020-11-30	1	1	Kanagawa
1.6.3.x.3	2020-10-28	2020-10-28	1	1	Kanagawa
1.6.4	2020-08-20	2020-08-20	1	1	Ibaraki
1.6.4.1	2020-08-20	2020-08-20	1	1	Ibaraki
1.6.5	2020-08-24	2020-08-24	1	1	Saitama
1.6.6	2020-09-04	2020-09-04	1	1	Chiba
1.6.6.1	2020-09-04	2020-09-04	1	1	Chiba
1.6.6.x.1	2020-09-13	2020-09-13	1	1	Chiba
1.6.7	2020-09-15	2020-09-15	1	1	Chiba
1.6.7.1	2020-10-07	2020-10-07	1	1	Kanagawa
1.6.7.1.1	2020-10-13	2020-10-15	3	3	Kanagawa
1.6.7.1.2	2020-10-28	2021-01-12	77	12	Kanagawa
1.6.7.1.2	2020-11-05	2021-01-18	75	13	Tokyo
1.6.7.1.2	2020-11-10	2021-01-15	67	2	Gunma
1.6.7.1.2	2020-11-10	2020-12-30	51	15	Hyogo
1.6.7.1.2	2020-11-17	2021-01-24	69	54	Fukuoka
1.6.7.1.2	2020-11-20	2020-11-20	1	1	Wakayama
1.6.7.1.2	2020-11-23	2020-12-03	11	2	Kagawa
1.6.7.1.2	2020-11-24	2020-12-02	9	5	Tochigi
1.6.7.1.2	2020-11-24	2021-01-27	65	18	Saitama
1.6.7.1.2	2020-11-25	2020-12-17	23	8	Miyagi
1.6.7.1.2	2020-11-26	2021-01-05	41	2	Osaka
1.6.7.1.2	2020-11-26	2020-12-06	11	2	Yamanashi
1.6.7.1.2	2020-11-26	2021-01-05	41	4	Kagoshima
1.6.7.1.2	2020-11-29	2020-12-01	3	2	Mie
1.6.7.1.2	2020-12-13	2020-12-24	12	7	Kyoto
1.6.7.1.2	2020-12-16	2021-01-12	28	12	Toyama
1.6.7.1.2	2020-12-18	2021-01-05	19	16	Oita
1.6.7.1.2	2020-12-18	2020-12-19	2	2	Yamaguchi
1.6.7.1.2	2020-12-27	2021-01-22	27	10	Miyazaki
1.6.7.1.2	2021-01-05	2021-01-05	1	3	Okayama
1.6.7.1.2	2021-01-05	2021-01-05	1	1	Ishikawa
1.6.7.1.2	2021-01-10	2021-01-14	5	9	Fukushima
1.6.7.1.2	2021-01-11	2021-01-11	1	1	Nagasaki
1.6.7.1.2	2021-01-11	2021-01-18	8	3	Chiba
1.6.7.1.2	2021-01-17	2021-01-25	9	4	Nara
1.6.7.1.2.1	2021-01-12	2021-01-12	1	1	Tokyo
1.6.7.1.2.3	2020-12-10	2020-12-10	1	1	Fukuoka
1.6.7.1.2.4	2021-01-13	2021-01-13	1	1	Chiba
1.6.7.1.2.5	2020-12-27	2020-12-27	1	1	Tokyo
1.6.7.1.2.5.1.x.1	2020-12-24	2020-12-24	1	1	Tochigi
1.6.7.1.2.6	2021-01-18	2021-01-18	1	1	Tokyo
1.6.7.1.2.7	2020-12-03	2020-12-03	1	1	Mie
1.6.7.1.2.8	2020-11-25	2020-11-25	1	1	Kanagawa
