haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	198	Kanagawa
1	2021-06-05	2021-08-11	68	3	Iwate
1	2021-06-10	2021-09-29	112	1030	Tokyo
1	2021-06-17	2021-09-14	90	281	Saitama
1	2021-06-24	2021-09-10	79	100	Chiba
1	2021-06-24	2021-09-07	76	6	Kagawa
1	2021-06-26	2021-08-30	66	49	Ibaraki
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-09-03	66	33	Gunma
1	2021-06-30	2021-10-05	98	268	Osaka
1	2021-07-05	2021-08-20	47	7	Toyama
1	2021-07-06	2021-09-02	59	71	Hokkaido
1	2021-07-09	2021-08-19	42	25	Mie
1	2021-07-10	2021-08-29	51	7	Hiroshima
1	2021-07-12	2021-08-23	43	16	Yamaguchi
1	2021-07-16	2021-09-13	60	27	Tochigi
1	2021-07-19	2021-08-27	40	28	Aichi
1	2021-07-20	2021-08-30	42	10	Kumamoto
1	2021-07-22	2021-09-08	49	9	Yamanashi
1	2021-07-23	2021-10-01	71	39	Shizuoka
1	2021-07-24	2021-10-05	74	12	Wakayama
1	2021-07-25	2021-08-29	36	4	Nagasaki
1	2021-07-26	2021-09-27	64	22	Kyoto
1	2021-07-26	2021-08-13	19	14	Nagano
1	2021-07-26	2021-08-21	27	36	Miyagi
1	2021-07-26	2021-10-13	80	120	Hyogo
1	2021-07-26	2021-08-18	24	8	Shiga
1	2021-07-27	2021-08-14	19	4	Miyazaki
1	2021-07-27	2021-08-25	30	7	Nara
1	2021-07-27	2021-09-06	42	28	Yamagata
1	2021-07-29	2021-09-26	60	9	Oita
1	2021-07-29	2021-08-27	30	5	Okinawa
1	2021-07-31	2021-09-10	42	11	Fukui
1	2021-08-03	2021-08-08	6	3	Tokushima
1	2021-08-04	2021-08-05	2	3	Akita
1	2021-08-07	2021-08-27	21	3	Kagoshima
1	2021-08-10	2021-08-17	8	3	Ishikawa
1	2021-08-11	2021-08-26	16	6	Saga
1	2021-08-11	2021-08-30	20	15	Okayama
1	2021-08-12	2021-08-22	11	4	Niigata
1.1	2021-08-14	2021-08-28	15	7	Fukuoka
1.2	2021-07-30	2021-08-08	10	12	Ibaraki
1.5.1	2021-08-26	2021-08-27	2	5	Chiba
1.5.2	2021-08-10	2021-08-30	21	6	Chiba
1.5.3	2021-08-18	2021-08-19	2	3	Saitama
1.5.4	2021-08-10	2021-08-17	8	4	Saitama
1.8	2021-08-12	2021-09-10	30	10	Hokkaido
1.14	2021-07-21	2021-08-07	18	7	Tokyo
1.14.2.3.1	2021-08-18	2021-08-30	13	3	Saitama
1.14.x.3	2021-08-03	2021-08-11	9	4	Tokyo
1.35	2021-08-17	2021-08-27	11	3	Tokyo
1.41	2021-08-16	2021-08-18	3	3	Ibaraki
1.49.1	2021-08-08	2021-08-08	1	3	Tokyo
1.57.1	2021-09-04	2021-09-08	5	4	Saitama
1.57.1	2021-09-08	2021-09-15	8	3	Tokyo
1.76	2021-08-11	2021-08-12	2	4	Tokyo
1.80	2021-07-30	2021-08-02	4	4	Nagano
1.80	2021-08-09	2021-08-17	9	3	Shizuoka
1.80.1	2021-08-10	2021-08-28	19	4	Shizuoka
1.80.2	2021-08-06	2021-08-07	2	3	Nagano
1.81	2021-07-02	2021-07-03	2	4	Tokyo
1.100	2021-08-24	2021-09-01	9	3	Chiba
1.107	2021-08-04	2021-08-20	17	3	Tokyo
1.117	2021-07-20	2021-09-16	59	9	Tokyo
1.117	2021-07-31	2021-08-10	11	9	Shizuoka
1.117.3	2021-08-20	2021-08-22	3	4	Tokushima
1.117.3.3	2021-08-27	2021-09-13	18	4	Tokushima
1.117.5|1.257.1	2021-08-13	2021-09-02	21	4	Tokyo
1.117.9	2021-08-06	2021-08-23	18	22	Shizuoka
1.117.9	2021-08-13	2021-08-26	14	11	Saitama
1.117.9.x.1.1	2021-08-24	2021-09-05	13	8	Shizuoka
1.117.9.x.1.x.1	2021-08-25	2021-09-09	16	4	Shizuoka
1.117.9.x.1.x.2	2021-09-07	2021-10-05	29	4	Shizuoka
1.117.9.x.1.x.2.x.2	2021-09-06	2021-09-08	3	3	Shizuoka
1.117.10.1	2021-08-16	2021-08-22	7	3	Tokyo
1.117.x.1|1.288.x.1	2021-08-21	2021-08-25	5	3	Kanagawa
1.122	2021-08-10	2021-08-10	1	8	Saitama
1.130.1	2021-08-11	2021-08-14	4	3	Osaka
1.130.1.3	2021-08-20	2021-08-26	7	4	Osaka
1.140	2021-08-17	2021-08-27	11	4	Hyogo
1.142	2021-08-16	2021-08-23	8	6	Fukuoka
1.142.2	2021-08-24	2021-08-25	2	3	Fukuoka
1.145	2021-08-04	2021-08-11	8	3	Hyogo
1.148.1	2021-07-12	2021-07-26	15	3	Ibaraki
1.148.1	2021-07-14	2021-09-03	52	42	Tokyo
1.148.1	2021-07-16	2021-08-31	47	41	Kanagawa
1.148.1	2021-07-16	2021-08-23	39	8	Chiba
