haplotype	first	last	duration	total	prefecture
1.72.109	2020-07-09	2020-08-08	31	30	Hiroshima
1.72.109.1	2020-07-20	2020-07-28	9	17	Hiroshima
1.72.109.1.3	2020-07-21	2020-08-01	12	24	Hiroshima
1.72.110.2.2.1	2020-09-17	2020-09-28	12	6	Hyogo
1.72.113	2020-07-05	2020-08-07	34	23	Saitama
1.72.116	2020-07-28	2020-08-12	16	3	Kanagawa
1.72.116.1	2020-07-19	2020-07-23	5	3	Wakayama
1.72.116.4	2020-07-17	2020-08-27	42	3	Kanagawa
1.72.116.4	2020-08-03	2020-09-10	39	3	Tokyo
1.72.116.4	2020-08-16	2020-08-16	1	6	Ishikawa
1.72.116.x.1|1.72.3.x.1	2020-07-22	2020-07-31	10	6	Shiga
1.72.116.x.1|1.72.3.x.1	2020-07-29	2020-08-02	5	5	Hiroshima
1.72.116.x.1.4	2020-08-04	2020-08-06	3	4	Hiroshima
1.72.129	2020-06-19	2020-08-29	72	11	Chiba
1.72.129	2020-06-23	2020-08-05	44	14	Fukuoka
1.72.129	2020-06-25	2020-08-07	44	7	Saitama
1.72.129	2020-06-26	2020-08-06	42	10	Tochigi
1.72.129	2020-06-29	2020-07-27	29	6	Kanagawa
1.72.129	2020-07-08	2020-07-20	13	21	Tokyo
1.72.129	2020-07-26	2020-08-25	31	13	Okinawa
1.72.129	2020-08-05	2020-08-21	17	4	Hokkaido
1.72.129.1	2020-08-05	2020-08-12	8	3	Hyogo
1.72.129.4	2020-07-30	2020-07-30	1	3	Nagano
1.72.129.13.1	2020-08-26	2020-08-26	1	3	Iwate
1.72.129.17	2020-07-12	2020-07-19	8	8	Chiba
1.72.129.17.x.2	2020-07-12	2020-07-20	9	5	Chiba
1.72.129.28	2020-07-26	2020-07-26	1	3	Saitama
1.72.129.32	2020-07-17	2020-08-08	23	5	Fukuoka
1.72.129.34	2020-08-25	2020-09-09	16	6	Hyogo
1.72.129.x.9	2020-07-25	2020-08-16	23	16	Ibaraki
1.72.129.x.9.1	2020-07-28	2020-08-07	11	10	Ibaraki
1.72.132	2020-08-07	2020-08-14	8	3	Ehime
1.72.134.x.1	2020-07-30	2020-08-09	11	5	Okinawa
1.72.140.1.1	2020-08-27	2020-10-19	54	31	Miyagi
1.72.140.1.1	2020-08-31	2020-09-04	5	5	Fukushima
1.72.140.1.1	2020-09-08	2020-10-19	42	7	Hokkaido
1.72.140.1.1.1	2020-10-04	2020-10-07	4	3	Miyagi
1.72.140.1.1.3.1	2020-10-29	2020-10-30	2	3	Hokkaido
1.72.140.1.1.5	2020-08-30	2020-09-06	8	8	Miyagi
1.72.140.1.1.6.1	2020-11-16	2020-11-17	2	3	Miyagi
1.72.140.1.1.7	2020-10-03	2020-10-08	6	3	Hokkaido
1.72.140.1.1.8	2020-09-15	2020-09-28	14	4	Chiba
1.72.144	2020-08-25	2020-09-03	10	3	Fukuoka
1.72.148	2020-08-18	2020-09-09	23	4	Chiba
1.72.149	2020-07-24	2020-08-06	14	4	Mie
1.72.149	2020-07-30	2020-08-04	6	4	Fukui
1.72.149	2020-08-17	2020-08-19	3	3	Hyogo
1.72.154	2020-07-16	2020-09-01	48	12	Saitama
1.72.154	2020-07-27	2020-08-14	19	4	Tokyo
1.72.154	2020-07-29	2020-08-23	26	6	Chiba
1.72.154	2020-08-05	2020-08-15	11	12	Hyogo
1.72.154.4	2020-08-04	2020-08-14	11	3	Saitama
1.72.154.4	2020-08-07	2020-08-16	10	4	Okayama
1.72.154.x.4|1.72.55.x.1	2020-08-04	2020-08-04	1	3	Tokyo
1.72.156.1	2020-11-10	2021-02-01	84	25	Mie
1.72.156.1.2	2021-01-11	2021-01-19	9	5	Mie
1.72.156.1.5	2020-12-26	2020-12-27	2	3	Mie
1.72.156.1.7	2020-12-19	2021-01-01	14	4	Kagoshima
1.72.156.1.7.x.1	2021-01-12	2021-01-13	2	3	Shizuoka
1.72.156.1.10	2021-01-05	2021-01-10	6	3	Mie
1.72.156.1.12	2021-02-12	2021-05-11	89	4	Ibaraki
1.72.156.1.13	2021-01-18	2021-01-20	3	4	Mie
1.72.156.1.15	2020-12-12	2020-12-12	1	3	Kyoto
1.72.156.1.16	2020-12-28	2021-02-12	47	11	Saitama
1.72.156.1.19	2021-01-18	2021-01-22	5	4	Mie
1.72.156.1.22	2021-01-13	2021-01-18	6	3	Mie
1.72.156.1.23	2021-01-26	2021-02-09	15	5	Mie
1.72.156.3.1|1.72.156.1.18	2021-01-06	2021-01-08	3	3	Mie
1.72.156.4	2020-11-07	2020-11-29	23	12	Nagano
1.72.156.4.2	2020-11-16	2020-12-11	26	38	Nagano
1.72.156.4.2.5	2020-11-28	2020-11-28	1	4	Nagano
1.72.156.4.2.9	2020-12-07	2020-12-07	1	3	Nagano
1.72.156.4.2.10	2020-12-11	2020-12-12	2	4	Nagano
1.72.156.4.3	2020-11-08	2020-11-08	1	3	Nagano
1.72.162	2020-11-06	2020-11-11	6	3	Tokyo
1.72.x.2	2020-08-31	2020-09-14	15	12	Osaka
1.72.x.2.1	2020-08-31	2020-09-11	12	7	Osaka
1.72.x.12	2020-11-12	2020-11-19	8	4	Mie
1.72.x.12.x.3.x.2	2020-11-29	2020-12-11	13	6	Gifu
1.72.x.12.x.3.x.2.2	2020-11-29	2020-12-11	13	6	Gifu
1.72.x.19	2020-08-04	2020-08-06	3	3	Tokushima
1.72.x.19.x.2	2020-08-07	2020-09-03	28	11	Fukuoka
1.72.x.26.3	2020-08-14	2020-08-16	3	3	Chiba
1.72.x.37	2020-08-18	2020-08-21	4	3	Mie
1.72.x.40	2020-07-04	2020-08-13	41	3	Saitama
1.72.x.40.2.x.2	2020-08-07	2020-09-25	50	21	Ishikawa
1.72.x.40.2.x.2.4	2020-08-07	2020-08-10	4	4	Ishikawa
1.72.x.40.2.x.2.11	2020-08-28	2020-08-31	4	4	Ishikawa
1.72.x.40.x.1	2020-08-02	2020-08-04	3	4	Oita
1.72.x.47	2020-07-07	2020-08-01	26	6	Chiba
1.72.x.47	2020-08-14	2020-08-26	13	9	Hyogo
