haplotype	first	last	duration	total	prefecture
1.200	2021-05-12	2021-06-03	23	17	Yamaguchi
1.201	2021-04-28	2021-06-05	39	18	Kagoshima
1.202	2021-04-27	2021-05-21	25	33	Kagoshima
1.209	2021-05-04	2021-05-17	14	13	Kagoshima
1.220	2021-06-21	2021-07-10	20	27	Shizuoka
1.222.1	2021-04-30	2021-06-03	35	68	Yamaguchi
1.222.1.3	2021-05-04	2021-06-02	30	14	Yamaguchi
1.222.1.4.1	2021-05-16	2021-07-03	49	13	Yamaguchi
1.225.1	2021-04-26	2021-05-21	26	12	Fukuoka
1.225.1.3.1	2021-06-28	2021-07-24	27	31	Ibaraki
1.228	2021-05-06	2021-05-28	23	45	Hiroshima
1.x.8	2021-05-03	2021-05-29	27	20	Nagano
1.x.8.1	2021-05-13	2021-06-02	21	11	Nagano
1.x.13	2021-04-09	2021-05-18	40	15	Fukuoka
1.x.30	2021-05-06	2021-06-02	28	14	Fukuoka
1.x.42	2021-03-13	2021-07-02	112	219	Osaka
1.x.42	2021-03-17	2021-05-02	47	39	Fukui
1.x.42	2021-03-22	2021-05-29	69	60	Hyogo
1.x.42	2021-03-22	2021-07-19	120	119	Tokyo
1.x.42	2021-03-23	2021-05-10	49	18	Okayama
1.x.42	2021-03-24	2021-06-07	76	18	Hokkaido
1.x.42	2021-03-26	2021-06-26	93	47	Kyoto
1.x.42	2021-03-26	2021-05-24	60	12	Yamaguchi
1.x.42	2021-03-26	2021-07-20	117	20	Ibaraki
1.x.42	2021-03-26	2021-07-06	103	24	Saitama
1.x.42	2021-03-27	2021-05-17	52	106	Hiroshima
1.x.42	2021-03-28	2021-07-06	101	70	Fukuoka
1.x.42	2021-03-31	2021-07-10	102	22	Nara
1.x.42	2021-04-01	2021-04-30	30	24	Wakayama
1.x.42	2021-04-03	2021-07-09	98	33	Chiba
1.x.42	2021-04-12	2021-07-20	100	57	Kanagawa
1.x.42	2021-04-12	2021-05-14	33	13	Aichi
1.x.42	2021-04-14	2021-05-12	29	19	Nagasaki
1.x.42	2021-04-15	2021-06-18	65	11	Shizuoka
1.x.42	2021-04-21	2021-06-23	64	63	Miyagi
1.x.42.28	2021-03-26	2021-04-28	34	41	Okayama
1.x.42.28	2021-04-05	2021-04-21	17	15	Tottori
1.x.42.44	2021-04-07	2021-05-14	38	39	Miyazaki
1.x.42.47.x.1	2021-04-21	2021-05-01	11	11	Fukui
1.x.42.50	2021-04-13	2021-05-04	22	25	Okayama
1.x.42.52	2021-04-16	2021-06-03	49	17	Saitama
1.x.42.52	2021-04-24	2021-05-10	17	12	Tokyo
1.x.42.68	2021-04-23	2021-06-16	55	29	Hiroshima
1.x.42.99	2021-05-31	2021-06-11	12	12	Miyagi
1.x.42.108	2021-04-02	2021-05-01	30	16	Osaka
1.x.42.112	2021-03-24	2021-04-29	37	13	Osaka
1.x.42.117	2021-04-23	2021-05-09	17	21	Hiroshima
1.x.42.132	2021-04-05	2021-05-10	36	11	Osaka
1.x.42.144	2021-06-03	2021-07-09	37	13	Saitama
1.x.42.144	2021-06-08	2021-07-22	45	21	Tokyo
1.x.42.156	2021-04-18	2021-06-12	56	33	Ishikawa
1.x.42.156	2021-05-07	2021-06-07	32	12	Toyama
1.x.42.160	2021-04-12	2021-05-09	28	20	Fukuoka
1.x.42.160	2021-04-14	2021-05-26	43	96	Nagasaki
1.x.42.161	2021-06-23	2021-06-26	4	14	Fukuoka
1.x.42.176	2021-04-30	2021-05-13	14	11	Miyagi
1.x.42.178	2021-07-09	2021-07-28	20	11	Osaka
1.x.42.181	2021-04-23	2021-07-02	71	60	Hiroshima
1.x.42.181	2021-05-06	2021-06-10	36	12	Fukuoka
1.x.42.199	2021-04-07	2021-04-30	24	11	Aichi
1.x.42.205	2021-04-18	2021-05-20	33	16	Hiroshima
1.x.42.x.4.1	2021-05-15	2021-06-10	27	14	Tokyo
1.x.42.x.10.1	2021-07-03	2021-09-01	61	82	Osaka
1.x.42.x.10.1	2021-07-08	2021-08-12	36	11	Fukuoka
1.x.42.x.10.1	2021-07-09	2021-08-14	37	34	Hyogo
1.x.42.x.13	2021-05-03	2021-06-01	30	27	Saitama
1.x.42.x.27	2021-05-13	2021-06-11	30	34	Shizuoka
1.x.42.x.30.1	2021-04-01	2021-05-10	40	22	Tokyo
1.x.42.x.34	2021-04-21	2021-05-24	34	18	Okayama
1.x.42.x.45	2021-03-22	2021-04-06	16	15	Osaka
1.x.42.x.45.1.x.1	2021-04-27	2021-05-27	31	79	Fukushima
1.x.42.x.45.x.2	2021-04-15	2021-05-15	31	11	Ibaraki
1.x.42.x.55	2021-04-13	2021-04-30	18	23	Wakayama
1.x.42.x.72.3	2021-04-19	2021-05-15	27	22	Hiroshima
1.x.42.x.76	2021-04-29	2021-07-08	71	21	Tokyo
1.x.42.x.76	2021-04-30	2021-07-12	74	12	Kanagawa
1.x.42.x.76	2021-04-30	2021-07-30	92	26	Osaka
1.x.42.x.76	2021-05-06	2021-07-10	66	216	Hokkaido
1.x.42.x.76.9	2021-05-14	2021-07-19	67	42	Tokyo
1.x.42.x.76.9	2021-06-02	2021-07-20	49	11	Chiba
1.x.42.x.76.9	2021-06-30	2021-08-25	57	51	Fukushima
1.x.42.x.76.11	2021-05-15	2021-06-19	36	42	Nagasaki
1.x.42.x.76.x.21	2021-06-09	2021-07-15	37	51	Tokyo
1.x.42.x.76.x.21	2021-06-09	2021-07-10	32	14	Kanagawa
1.x.42.x.76.x.21	2021-06-11	2021-07-12	32	12	Saitama
1.x.42.x.80	2021-04-20	2021-05-23	34	19	Okayama
1.x.42.x.86	2021-04-12	2021-07-21	101	77	Tokyo
1.x.42.x.86	2021-04-19	2021-06-26	69	12	Chiba
1.x.42.x.86	2021-04-27	2021-08-12	108	13	Saitama
1.x.42.x.86	2021-05-04	2021-06-08	36	12	Yamanashi
1.x.42.x.86.7	2021-04-15	2021-05-11	27	13	Nagano
1.x.42.x.86.7	2021-04-19	2021-05-10	22	11	Niigata
