Samples	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08
domestic	10	162	686	2841	414	428	2508	3823	1244	1318	3250	4934	7759	2856	5594	15029	15482	8728	13396	3604
immigration	1	0	24	13	17	32	80	37	49	62	146	163	180	57	116	216	148	120	255	57
