haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	198	Kanagawa
1	2021-06-10	2021-09-29	112	1030	Tokyo
1	2021-06-17	2021-09-14	90	281	Saitama
1	2021-06-24	2021-09-10	79	100	Chiba
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-10-05	98	268	Osaka
1	2021-07-06	2021-09-02	59	70	Hokkaido
1	2021-07-26	2021-10-13	80	120	Hyogo
1.72	2021-07-08	2021-09-16	71	112	Tokyo
1.72	2021-07-12	2021-09-13	64	68	Saitama
1.72	2021-07-20	2021-09-14	57	80	Ibaraki
1.73	2021-07-21	2021-09-01	43	82	Fukuoka
1.73	2021-07-22	2021-09-07	48	84	Kagoshima
1.73.11.4	2021-08-10	2021-09-14	36	70	Fukuoka
1.73.23	2021-07-21	2021-09-07	49	186	Fukuoka
1.82.1	2021-08-02	2021-09-21	51	111	Aichi
1.82.1	2021-08-03	2021-09-07	36	57	Shizuoka
1.82.1	2021-08-10	2021-09-14	36	78	Mie
1.91.3.1	2021-07-29	2021-08-28	31	64	Okayama
1.133.3	2021-07-18	2021-09-04	49	76	Tokyo
1.183	2021-07-21	2021-08-28	39	58	Tokyo
1.193	2021-07-06	2021-09-08	65	95	Kyoto
1.193	2021-07-17	2021-09-16	62	151	Osaka
1.195.2	2021-06-04	2021-09-08	97	229	Kanagawa
1.195.2	2021-06-09	2021-09-15	99	840	Tokyo
1.195.2	2021-06-09	2021-09-04	88	185	Chiba
1.195.2	2021-06-19	2021-09-17	91	221	Osaka
1.195.2	2021-06-21	2021-09-17	89	161	Saitama
1.195.2	2021-07-01	2021-09-14	76	135	Hyogo
1.195.2	2021-07-02	2021-09-08	69	70	Shizuoka
1.195.2	2021-07-12	2021-09-21	72	93	Miyagi
1.195.2.57	2021-07-21	2021-09-04	46	54	Kumamoto
1.195.2.60	2021-08-04	2021-09-13	41	57	Shizuoka
1.195.2.78.9	2021-07-21	2021-09-03	45	74	Hyogo
1.195.2.78.x.1.x.6.x.1.x.5	2021-12-20	2022-02-12	55	96	Tokyo
1.195.2.78.x.1.x.6.x.1.x.5.x.2	2022-01-03	2022-01-19	17	61	Okinawa
1.195.2.109	2021-07-11	2021-09-04	56	61	Tokyo
1.195.2.109	2021-07-26	2021-09-28	65	84	Osaka
1.195.2.114.1	2021-08-02	2021-09-13	43	78	Miyagi
1.195.2.114.1.6.1	2021-08-03	2021-09-13	42	104	Miyagi
1.195.2.172	2021-07-08	2021-08-30	54	54	Kanagawa
1.195.2.172.x.4.1	2021-08-18	2021-09-15	29	65	Aomori
1.195.2.188	2021-07-20	2021-10-18	91	52	Saitama
1.195.2.188	2021-07-21	2021-09-13	55	72	Tokyo
1.195.2.208.10.3.1	2021-07-19	2021-09-06	50	56	Fukuoka
1.195.2.262.x.1	2021-07-07	2021-08-20	45	75	Tokyo
1.195.2.283	2021-07-05	2021-08-30	57	71	Tokyo
1.195.2.283	2021-07-09	2021-09-02	56	85	Shizuoka
1.195.2.283.8	2021-07-27	2021-09-13	49	61	Tokyo
1.195.2.286	2021-06-20	2021-09-16	89	114	Okinawa
1.195.2.343	2021-07-17	2021-09-17	63	51	Tokyo
1.195.2.376	2021-07-13	2021-09-06	56	59	Tokyo
1.195.2.437	2021-06-11	2021-09-01	83	66	Tokyo
1.195.2.x.63.3	2021-08-04	2021-09-24	52	154	Osaka
1.218	2021-06-13	2021-09-03	83	100	Tokyo
1.218.20	2021-07-15	2021-09-08	56	192	Osaka
1.218.20	2021-07-19	2021-09-09	53	70	Hyogo
1.218.29	2021-07-12	2021-09-11	62	56	Tokyo
1.218.29.16	2021-07-15	2021-09-03	51	82	Tokyo
1.218.29.23	2021-07-17	2021-08-30	45	69	Ishikawa
1.314	2021-07-12	2021-10-05	86	261	Tokyo
1.314	2021-07-19	2021-09-16	60	58	Kanagawa
1.316.x.2	2021-07-15	2021-09-09	57	146	Osaka
1.345.2.1	2021-07-17	2021-08-19	34	61	Fukushima
1.440	2021-06-26	2021-09-01	68	54	Tokyo
e.18.7	2021-07-12	2021-09-03	54	54	Tokyo
j.35	2021-08-08	2021-09-02	26	70	Fukuoka
j.37.3.2.5	2021-12-07	2022-01-22	47	56	Hokkaido
